DN	Draw Date	L1	L2	L3	L4	L5	L6
366	27-May-10	12	17	21	24	25	40
367	29-May-10	21	23	28	34	39	40
368	1-Jun-10	04	11	15	27	28	31
369	3-Jun-10	10	11	35	39	41	42
370	5-Jun-10	03	04	05	07	16	26
371	8-Jun-10	08	09	16	18	19	30
372	10-Jun-10	09	25	26	29	34	42
373	12-Jun-10	22	25	29	33	41	42
374	15-Jun-10	04	05	14	18	23	38
375	17-Jun-10	12	16	17	21	33	37
376	19-Jun-10	02	05	09	21	25	40
377	22-Jun-10	03	12	20	24	28	36
378	24-Jun-10	04	19	27	29	31	41
379	26-Jun-10	13	15	26	39	40	41
380	29-Jun-10	02	04	08	16	17	27
381	1-Jul-10	01	02	06	24	25	36
382	3-Jul-10	13	16	21	23	25	33
383	6-Jul-10	10	27	34	35	38	42
384	8-Jul-10	03	16	29	30	39	42
385	10-Jul-10	11	16	20	27	38	39
386	13-Jul-10	05	06	19	23	24	26
387	15-Jul-10	01	04	18	22	24	41
388	17-Jul-10	01	04	17	21	29	33
389	20-Jul-10	03	07	10	24	27	37
390	22-Jul-10	06	21	29	33	40	41
391	24-Jul-10	19	23	26	31	40	41
392	27-Jul-10	05	19	26	28	34	36
393	29-Jul-10	07	19	30	38	39	41
394	31-Jul-10	03	06	07	25	32	41
395	3-Aug-10	04	10	11	12	34	36
396	5-Aug-10	10	11	19	20	36	40
397	7-Aug-10	04	11	36	37	39	41
398	10-Aug-10	04	10	22	23	31	42
399	12-Aug-10	04	07	08	13	39	42
400	14-Aug-10	07	20	23	26	31	39
401	17-Aug-10	07	09	14	24	27	29
402	19-Aug-10	10	17	19	23	28	41
403	21-Aug-10	07	32	37	39	41	42
404	24-Aug-10	01	04	11	15	28	34
405	26-Aug-10	13	15	18	19	25	39
406	28-Aug-10	15	24	30	31	32	42
407	31-Aug-10	06	15	17	27	29	38
408	2-Sep-10	11	17	26	31	34	42
409	4-Sep-10	05	07	08	15	26	40
410	7-Sep-10	08	18	21	25	31	33
411	9-Sep-10	01	06	12	17	24	28
412	11-Sep-10	20	23	25	30	37	40
413	14-Sep-10	10	14	16	28	31	34
414	16-Sep-10	07	10	26	27	34	41
415	18-Sep-10	07	11	23	24	30	34
416	21-Sep-10	12	16	20	22	37	42
417	23-Sep-10	06	08	12	13	17	36
418	25-Sep-10	12	19	26	28	29	40
419	28-Sep-10	01	07	18	19	22	40
420	30-Sep-10	16	19	20	28	29	35
421	2-Oct-10	14	19	30	32	34	41
422	5-Oct-10	06	11	12	17	32	42
423	7-Oct-10	11	20	21	30	36	38
424	9-Oct-10	01	08	11	32	34	35
425	12-Oct-10	02	21	36	37	39	41
426	14-Oct-10	07	12	23	27	39	42
427	16-Oct-10	01	03	08	22	24	29
428	19-Oct-10	06	10	12	15	19	21
429	21-Oct-10	03	10	13	14	28	35
430	23-Oct-10	04	07	28	34	38	42
431	26-Oct-10	12	13	20	21	24	34
432	28-Oct-10	03	08	12	27	32	34
433	30-Oct-10	11	15	29	33	40	42
434	2-Nov-10	03	10	11	19	22	34
435	4-Nov-10	02	04	17	22	38	39
436	6-Nov-10	02	03	08	09	12	16
437	9-Nov-10	04	09	15	25	27	32
438	11-Nov-10	11	12	30	36	37	41
439	13-Nov-10	02	03	05	15	31	34
440	16-Nov-10	04	12	14	27	29	36
441	18-Nov-10	04	13	20	29	32	37
442	20-Nov-10	02	04	12	26	28	42
443	25-Nov-10	19	25	26	28	36	42
444	27-Nov-10	07	12	16	17	34	37
445	30-Nov-10	03	11	14	15	21	29
446	2-Dec-10	15	16	20	29	30	42
447	4-Dec-10	06	07	16	18	25	41
448	7-Dec-10	18	19	21	25	27	41
449	9-Dec-10	05	11	16	20	33	41
450	11-Dec-10	14	15	22	24	32	38
451	14-Dec-10	08	15	22	23	34	37
452	16-Dec-10	06	15	17	19	23	33
453	18-Dec-10	11	15	19	21	29	32
